# id|category|name|description|apt packages|handler
ca-certificates|基础|CA 证书|HTTPS 连接所需的根证书|ca-certificates|
curl|基础|curl|HTTP 下载和 API 请求工具|curl|
wget|基础|wget|文件下载工具|wget|
git|基础|Git|版本控制工具|git|
jq|基础|jq|JSON 命令行处理器|jq|
vim|基础|Vim|终端文本编辑器|vim|
nano|基础|Nano|简单的终端文本编辑器|nano|
tmux|基础|tmux|终端会话复用工具|tmux|
htop|基础|htop|交互式进程查看器|htop|
lsof|基础|lsof|查看文件和端口占用|lsof|
unzip|基础|unzip|ZIP 解压工具|unzip|
zip|基础|zip|ZIP 压缩工具|zip|
rsync|基础|rsync|增量文件同步工具|rsync|
ripgrep|命令行|ripgrep|高速文本搜索工具|ripgrep|
fd|命令行|fd|文件查找工具，Debian 命令名为 fdfind|fd-find|
bat|命令行|bat|高亮文件查看器，Debian 命令名通常为 batcat|bat|
fzf|命令行|fzf|模糊查找工具|fzf|
tree|命令行|tree|以树形显示目录|tree|
neovim|命令行|Neovim|现代 Vim 编辑器|neovim|
mtr|网络|mtr|网络链路诊断工具|mtr-tiny|
traceroute|网络|traceroute|路由跟踪工具|traceroute|
whois|网络|whois|域名和 IP 信息查询|whois|
socat|网络|socat|双向数据转发工具|socat|
nmap|网络|Nmap|端口和主机扫描工具|nmap|
iperf3|网络|iperf3|网络吞吐测试工具|iperf3|
dnsutils|网络|DNS 工具|dig 和 nslookup 等 DNS 工具|dnsutils|
tcpdump|网络|tcpdump|网络抓包工具|tcpdump|
net-tools|网络|net-tools|ifconfig 和 netstat 等传统工具|net-tools|
sysstat|监控|sysstat|sar 和 iostat 性能统计工具|sysstat|
iotop|监控|iotop|磁盘 IO 监控工具|iotop|
iftop|监控|iftop|实时网络流量监控|iftop|
ncdu|监控|ncdu|磁盘占用分析工具|ncdu|
strace|监控|strace|系统调用跟踪工具|strace|
nload|监控|nload|网卡流量监控工具|nload|
rclone|备份|rclone|云存储同步工具|rclone|
restic|备份|restic|加密增量备份工具|restic|
borgbackup|备份|BorgBackup|去重备份工具|borgbackup|
ufw|安全|UFW|简单的主机防火墙|ufw|
fail2ban|安全|Fail2ban|登录暴力破解防护|fail2ban|
openssl|安全|OpenSSL|TLS 和证书工具|openssl|
gcc|开发|GCC|C 编译器|gcc|
gpp|开发|G++|C++ 编译器|g++|
make|开发|Make|经典构建工具|make|
cmake|开发|CMake|跨平台构建系统|cmake|
ninja|开发|Ninja|高速构建工具|ninja-build|
pkg-config|开发|pkg-config|查找编译依赖信息|pkg-config|
python|运行时|Python 3|Python 3 解释器|python3|
pip|运行时|pip|Python 包管理器|python3-pip|
python-venv|运行时|Python venv|Python 虚拟环境支持|python3-venv|
pipx|运行时|pipx|隔离安装 Python 命令行程序|pipx|
node|运行时|Node.js|Node.js 运行时|nodejs|
npm|运行时|npm|Node.js 包管理器|npm|
go|运行时|Go|Go 编译器和工具链|golang-go|
rust|运行时|Rust|Rust 编译器|rustc|
cargo|运行时|Cargo|Rust 包管理器|cargo|
java|运行时|OpenJDK|默认 Java 开发环境|default-jdk|
php|运行时|PHP CLI|PHP 命令行运行时|php-cli|
php-fpm|运行时|PHP-FPM|PHP FastCGI 服务|php-fpm|
nginx|服务|Nginx|Web 服务器和反向代理|nginx|
caddy|服务|Caddy|从官方仓库安装 Caddy||caddy_official
redis|服务|Redis|内存缓存和数据存储|redis-server|
postgresql|服务|PostgreSQL|PostgreSQL 数据库服务器|postgresql|
postgresql-contrib|服务|PostgreSQL 扩展|PostgreSQL 常用扩展|postgresql-contrib|
mariadb|服务|MariaDB|MariaDB 数据库服务器|mariadb-server|
sqlite|服务|SQLite|SQLite 命令行工具|sqlite3|
docker|容器|Docker Engine|从 Docker 官方仓库安装 Engine 和 Compose||docker_official
